start time ,tail call end time ,syscall end time ,time to run tail calls ,time to run syscall ,total time to run
15803926939565 ,15803926948307 ,15803927265466 ,8742 ,317159 ,325901
15803940312373 ,15803940325498 ,15803940662136 ,13125 ,336638 ,349763
15803957418114 ,15803957435068 ,15803957874760 ,16954 ,439692 ,456646
15803970521668 ,15803970531456 ,15803970846025 ,9788 ,314569 ,324357
15803984921942 ,15803984959626 ,15803985347385 ,37684 ,387759 ,425443
15803998289335 ,15803998301199 ,15803999309874 ,11864 ,1008675 ,1020539
15804017659984 ,15804017673320 ,15804018212316 ,13336 ,538996 ,552332
15804031612463 ,15804031623303 ,15804031981755 ,10840 ,358452 ,369292
15804047060357 ,15804047078520 ,15804047645944 ,18163 ,567424 ,585587
15804062294250 ,15804062307169 ,15804062882047 ,12919 ,574878 ,587797
15804075598378 ,15804075626749 ,15804076047701 ,28371 ,420952 ,449323
15804091010021 ,15804091019340 ,15804091636030 ,9319 ,616690 ,626009
15804105292618 ,15804105313198 ,15804105639746 ,20580 ,326548 ,347128
15804119912714 ,15804119958132 ,15804120383225 ,45418 ,425093 ,470511
15804136336574 ,15804136365569 ,15804136805281 ,28995 ,439712 ,468707
15804149201967 ,15804149211442 ,15804149513559 ,9475 ,302117 ,311592
