8281020673584 ,8281020683490 ,9906
8281031405242 ,8281031422948 ,17706
8281042901851 ,8281042929324 ,27473
8281055345088 ,8281055381427 ,36339
8281067340526 ,8281067351586 ,11060
8281084153704 ,8281084168944 ,15240
8281096829208 ,8281096852597 ,23389
8281108287943 ,8281108297858 ,9915
8281119653552 ,8281119668681 ,15129
8281131444236 ,8281131492626 ,48390
8281142760943 ,8281142770646 ,9703
8281155087016 ,8281155110844 ,23828
8281167569382 ,8281167581085 ,11703
8281179359190 ,8281179369163 ,9973
8281191283112 ,8281191293066 ,9954
8281203902697 ,8281203912356 ,9659
8281215835216 ,8281215850782 ,15566
8281227073160 ,8281227086046 ,12886
8281239209754 ,8281239219202 ,9448
8281251790944 ,8281251813359 ,22415
8281262763358 ,8281262774706 ,11348
8281273641560 ,8281273655910 ,14350
8281289951407 ,8281289963365 ,11958
8281303621912 ,8281303632528 ,10616
8281320182921 ,8281320193958 ,11037
8281332416655 ,8281332427985 ,11330
8281344415903 ,8281344441637 ,25734
8281355653223 ,8281355662259 ,9036
8281371286861 ,8281371296609 ,9748
8281383400321 ,8281383410508 ,10187
8281399838004 ,8281399848599 ,10595
8281411768199 ,8281411777059 ,8860
8281427375297 ,8281427410370 ,35073
8281440124548 ,8281440144263 ,19715
8281452159731 ,8281452169572 ,9841
8281463443068 ,8281463454790 ,11722
8281474565121 ,8281474574334 ,9213
8281486709328 ,8281486739325 ,29997
8281499293601 ,8281499333228 ,39627
8281511420760 ,8281511447447 ,26687
8281523159300 ,8281523189779 ,30479
8281535782690 ,8281535793114 ,10424
8281547050385 ,8281547067010 ,16625
8281558315696 ,8281558325700 ,10004
8281570646360 ,8281570655666 ,9306
8281583532432 ,8281583553779 ,21347
8281596385947 ,8281596408644 ,22697
8281608584362 ,8281608593516 ,9154
8281620529522 ,8281620539244 ,9722
8281632518271 ,8281632529223 ,10952
8281645339971 ,8281645349117 ,9146
8281658237949 ,8281658280251 ,42302
8281670999870 ,8281671009520 ,9650
8281683227489 ,8281683236831 ,9342
8281695371556 ,8281695405329 ,33773
8281708701464 ,8281708714497 ,13033
8281721921247 ,8281721930483 ,9236
8281734686143 ,8281734696650 ,10507
8281744579401 ,8281744601587 ,22186
8281761004921 ,8281761015042 ,10121
8281774042002 ,8281774051213 ,9211
8281785963050 ,8281785973275 ,10225
8281798212764 ,8281798222915 ,10151
8281809589324 ,8281809627076 ,37752
8281821682551 ,8281821692749 ,10198
8281833322628 ,8281833341262 ,18634
8281844916245 ,8281844925439 ,9194
8281857465035 ,8281857474435 ,9400
8281869359282 ,8281869368680 ,9398
8281880259736 ,8281880271112 ,11376
8281892398851 ,8281892408830 ,9979
8281904147163 ,8281904162944 ,15781
8281916053098 ,8281916062466 ,9368
8281926743668 ,8281926763921 ,20253
8281938968663 ,8281938981343 ,12680
8281950343764 ,8281950353578 ,9814
8281961733431 ,8281961748102 ,14671
8281979053750 ,8281979063273 ,9523
8281991328360 ,8281991339021 ,10661
8282007582010 ,8282007592922 ,10912
8282021641902 ,8282021674801 ,32899
8282034496416 ,8282034538364 ,41948
8282051858639 ,8282051868321 ,9682
8282065106066 ,8282065147397 ,41331
8282076619813 ,8282076628946 ,9133
8282088479631 ,8282088490729 ,11098
8282100283273 ,8282100293772 ,10499
8282111430878 ,8282111442024 ,11146
8282124131478 ,8282124140944 ,9466
8282135633151 ,8282135644500 ,11349
8282147313524 ,8282147353074 ,39550
8282159208836 ,8282159218217 ,9381
8282170979289 ,8282170989778 ,10489
8282181840410 ,8282181878724 ,38314
8282193364434 ,8282193373368 ,8934
8282206098267 ,8282206108971 ,10704
8282217330967 ,8282217341467 ,10500
8282228366804 ,8282228381017 ,14213
8282241001985 ,8282241012598 ,10613
8282252722995 ,8282252734866 ,11871
,,16086.63
